Image,Area,Perimeter,Compactness,MQI
cju17otoe119u0799nqcbl8n1.jpg,236208,2297.24,0.5625,0.5625
cju17otoe119u0799nqcbl8n1.jpg,178187,1882.15,0.6321,0.6321
cju183od81ff608017ekzif89.jpg,23886,600.9,0.8313,0.8313
cju183od81ff608017ekzif89.jpg,42379,925.07,0.6223,0.6223
cju1amqw6p8pw0993d9gc5crl.jpg,12327,476.63,0.6819,0.6819
cju1b0y2e396p08558ois175d.jpg,27214,853.6,0.4694,0.4694
cju1bhnfitmge0835ynls0l6b.jpg,40001,821.61,0.7446,0.7446
cju1c8ffau5770835g0g343o8.jpg,16078,516.8,0.7565,0.7565
cju1cfhyg48bb0799cl5pr2jh.jpg,75032,1256.92,0.5968,0.5968
cju1cqc7n4gpy0855jt246k68.jpg,17493,526.8,0.7921,0.7921
cju1cvkfwqrec0993wbp1jlzm.jpg,18873,550.42,0.7828,0.7828
cju1ddr6p4k5z08780uuuzit2.jpg,8978,468.29,0.5145,0.5145
cju1dg44i4z3w0801nyz4p6zf.jpg,42486,1172.77,0.3882,0.3882
cju1drnhbrb9409935wi7vkhg.jpg,12119,428.63,0.8289,0.8289
cju1euuc65wm00799m4sjdnnn.jpg,17845,529.93,0.7985,0.7985
cju1ffnjn6ctm08015perkg37.jpg,105883,1516.39,0.5786,0.5786
cju1ffnjn6ctm08015perkg37.jpg,98508,1462.28,0.5789,0.5789
cju1fyb1d69et0878muzdak9u.jpg,65650,1361.99,0.4447,0.4447
cju1g20bdwq6u0835e16xugcd.jpg,85843,1207.09,0.7403,0.7403
cju1g4nsb6ngy0799l4ezm8ab.jpg,45386,830.2,0.8275,0.8275
cju1hp9i2xu8e0988u2dazk7m.jpg,57626,962.39,0.7819,0.7819
cju2hgsptlfam0835o3b59h1o.jpg,13294,484.19,0.7126,0.7126
cju2i03ptvkiu0799xbbd4det.jpg,36964,833.07,0.6693,0.6693
cju2nbdpmlmcj0993s1cht0dz.jpg,38597,1253.64,0.3086,0.3086
cju2nfnvxzdkd0878399axlco.jpg,44292,822.78,0.8222,0.8222
cju2nqapmzvk20801f9us40dx.jpg,49601,900.48,0.7687,0.7687
cju2nqapmzvk20801f9us40dx.jpg,11600,424.19,0.8101,0.8101
cju2osuru0ki00855txo0n3uu.jpg,77805,1100.43,0.8074,0.8074
cju2pkwt3r8b90988v2ywq1px.jpg,28630,669.77,0.802,0.802
cju2r11x7sdgx0988o8ule0wl.jpg,61621,1026.49,0.7349,0.7349
cju2rnkt22xep0801as160g9t.jpg,4899,279.24,0.7895,0.7895
cju2rnkt22xep0801as160g9t.jpg,9756,455.55,0.5908,0.5908
cju2suk42469908015ngmq6f2.jpg,41504,784.98,0.8464,0.8464
